label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
tuff_breccia_agglomerate_or_pyroclastic_breccia lithology in British Columbia	average magnetic susceptibility tuff_breccia_agglomerate_or_pyroclastic_breccia	0.02199	0.03046	7	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00171 SI magnetic susceptibility, max susceptibility is 0.08090 SI magnetic susceptibility"	
tuffite lithology in British Columbia	average magnetic susceptibility tuffite	0.00332	0.00777	29	GF INSTRUMENTS SM-20	"average value and standard deviation from 29 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.03433 SI magnetic susceptibility"	
tuffite lithology in British Columbia	average density of unaltered tuffite	2.73	0.09	41	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 41 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.54 g/cm3, max density is 2.94 g/cm3"	
tuffite lithology in British Columbia	average magnetic susceptibility tuffite	0.00782	0.01107	44	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 44 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00009 SI magnetic susceptibility, max susceptibility is 0.05090 SI magnetic susceptibility"	
tuffite lithology in British Columbia	average magnetic susceptibility tuffite	0.00967	0.01569	93	SAPPHIRE SI2B MS METER	"average value and standard deviation from 93 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007 SI magnetic susceptibility, max susceptibility is 0.08610 SI magnetic susceptibility"	
tuffite lithology in Endako Formation	average  Magnetic_Susceptibility for tuffite in the Endako Formation	0.00692	0.0052	9	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00102  SI magnetic susceptibility, max susceptibility is 0.01640  SI magnetic susceptibility"	Endako Formation
tuffite lithology in Hazelton Group	average  Magnetic_Susceptibility for tuffite in the Hazelton Group	0.00038	0.00015	15	SAPPHIRE SI2B MS METER	"average value and standard deviation from 15 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00008  SI magnetic susceptibility, max susceptibility is 0.00066  SI magnetic susceptibility"	
tuffite lithology in Hazelton Group	average  Magnetic_Susceptibility for tuffite in the Hazelton Group	0.00954	0.01129	8	SAPPHIRE SI2B MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00098  SI magnetic susceptibility, max susceptibility is 0.03640  SI magnetic susceptibility"	
tuffite lithology in Kasalka Group	average  Magnetic_Susceptibility for tuffite in the Kasalka Group	0.0216	0.01365	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00328  SI magnetic susceptibility, max susceptibility is 0.04070  SI magnetic susceptibility"	
tuffite lithology in Nicol Creek Formation	average  Magnetic_Susceptibility for tuffite in the Nicol Creek Formation	0.02171	0.04293	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00020  SI magnetic susceptibility, max susceptibility is 0.08610  SI magnetic susceptibility"	Nicol Creek Formation
tuffite lithology in Nicola Group	average  Magnetic_Susceptibility for tuffite in the Nicola Group	0.00249	0.00576	21	GF INSTRUMENTS SM-20	"average value and standard deviation from 21 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000  SI magnetic susceptibility, max susceptibility is 0.02027  SI magnetic susceptibility"	
tuffite lithology in Nicola Group	average  Magnetic_Susceptibility for tuffite in the Nicola Group	0.02096	0.02084	21	SAPPHIRE SI2B MS METER	"average value and standard deviation from 21 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00034  SI magnetic susceptibility, max susceptibility is 0.06790  SI magnetic susceptibility"	
tuffite lithology in Nicola Group	average  Density for tuffite in the Nicola Group	2.75	0.08	32	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 32 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.55  g/cm3, max susceptibility is 2.94  g/cm3"	
tuffite lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for tuffite in the Ootsa Lake Group	0.00325	0.00201	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00011  SI magnetic susceptibility, max susceptibility is 0.00549  SI magnetic susceptibility"	
tuffite lithology in Powell CreekVolc	average  Magnetic_Susceptibility for tuffite in the Powell Creek Volc	0.00775	0.00901	27	SAPPHIRE SI2B MS METER	"average value and standard deviation from 27 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00066  SI magnetic susceptibility, max susceptibility is 0.03300  SI magnetic susceptibility"	Powell Creek Volc
tuffite lithology in Silverquick/Powell Creek	average  Magnetic_Susceptibility for tuffite in the Silverquick/Powell Creek	0.00508	0.00356	10	SAPPHIRE SI2B MS METER	"average value and standard deviation from 10 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00031  SI magnetic susceptibility, max susceptibility is 0.01110  SI magnetic susceptibility"	Silverquick/Powell Creek
tuffite lithology in Spences Bridge Group	average  Magnetic_Susceptibility for tuffite in the Spences Bridge Group	0.00381	0.00713	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007  SI magnetic susceptibility, max susceptibility is 0.01450  SI magnetic susceptibility"	
ultramafic_igneous_rock lithology in British Columbia	average magnetic susceptibility ultramafic_igneous_rock	0.30193	0.38821	10	SAPPHIRE SI2B MS METER	"average value and standard deviation from 10 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00189 SI magnetic susceptibility, max susceptibility is 1.33000 SI magnetic susceptibility"	
